CODE,TYPE,HEADING,LABELS,STOCKS,COST,DETAILS
 B4221000,rings,Maillon PanthÃ¨re wedding band,"white gold, diamonds",25,3300.00 INR,"Maillon PanthÃ¨re wedding band, 18K white gold, set with 12 brilliant-cut diamonds totaling 0.15 carats."
 B4231100,rings,Clash de Cartier ring Medium Model,white gold,25,3300.00 INR,"Clash de Cartier ring, medium model, non-rhodiumized 18K white gold. Width: 8 mm."
 B4233000,rings,Clash de Cartier ring Medium Model,white gold,25,3300.00 INR,"Clash de Cartier ring, medium model, rhodiumized 18K white gold. Width: 8 mm."
 B4210200,rings,C de Cartier wedding band,"platinum, diamond",25,3350.00 INR,"C de Cartier wedding band, width 5 mm, 950â€° platinum, set with a brilliant-cut diamond of 0.04 carats."
 N4210700,rings,"Trinity ring, classic","white gold, yellow gold, pink gold, diamonds",25,33500.00 INR,"Trinity ring, medium model, 18K white gold, 18K pink gold, 18K yellow gold, set with 432 brilliant-cut diamonds totaling 2.98 carats."
 B4087500,rings,"Love ring, 3 diamonds","pink gold, diamonds",25,3500.00 INR,"Love ring, 18K rose gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4227900,rings,Love ring,white gold,25,3500.00 INR,"Love ring, 18K white gold."
 B4220100,rings,Cactus de Cartier wedding band,"yellow gold, diamonds",25,3500.00 INR,"Cactus de Cartier wedding band, 18K yellow gold, set with 15 brilliant-cut diamonds totaling 0.32 carats."
 B4220300,rings,Cactus de Cartier wedding band,"pink gold, diamonds",25,3500.00 INR,"Cactus de Cartier wedding band, 18K pink gold, set with 15 brilliant-cut diamonds totaling 0.3 carats."
 B4221900,rings,Ã‰tincelle de Cartier wedding band,"platinum, diamonds",25,3500.00 INR,"Etincelle de Cartier wedding band, 950â€° platinum, set with 22 brilliant-cut diamonds totaling 0.27 carat. Width 2.00 mm."
 B4230700,rings,Maillon PanthÃ¨re ring,yellow gold,25,3500.00 INR,"Maillon PanthÃ¨re ring, 18K yellow gold."
 B4056200,rings,"Love wedding band, 8 diamonds","yellow gold, diamonds",25,3550.00 INR,"Love wedding band, 18K yellow gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm."
 B4050800,rings,"Love wedding band, 8 diamonds","pink gold, diamonds",25,3550.00 INR,"Love wedding band, 18K rose gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm."
 N4745100,rings,Coup d'Ã‰clat de Cartier ring,"white gold, diamonds",25,35800.00 INR,"Coup d'Ã‰clat de Cartier ring, 18K white gold, set with 87 brilliant-cut diamonds totaling 1.45 carats."
 B4084900,rings,Love ring,platinum,25,3650.00 INR,"Love ring, 950/1000 platinum. Width: 5.5mm."
 B4226300,rings,Goldmaster de Cartier ring,yellow gold,25,3650.00 INR,"Goldmaster de Cartier ring, 18K yellow gold."
 N4745000,rings,Coup d'Ã‰clat de Cartier ring,"white gold, diamonds",25,37000.00 INR,"Coup d'Ã‰clat de Cartier ring, 18K white gold, set with 171 brilliant-cut diamonds totaling 2.58 carats."
 N4225200,rings,PanthÃ¨re de Cartier ring,"white gold, diamonds, emeralds, onyx",25,37100.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, set with 285 diamonds totaling 2.39 carats. Emeralds, onyx."
 B4032500,rings,"Love ring, 3 diamonds","white gold, diamonds",25,3750.00 INR,"Love ring, 18K white gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4226400,rings,Goldmaster de Cartier ring,yellow gold,25,3750.00 INR,"Goldmaster de Cartier ring, 18K yellow gold."
 N4748900,rings,PanthÃ¨re de Cartier ring,"white gold, emeralds, onyx, diamonds",25,37600.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 264 brilliant-cut diamonds totaling 1.66 carats."
 B4050600,rings,"Love wedding band, 8 diamonds","white gold, diamonds",25,3800.00 INR,"Love wedding band, 18K white gold, set with 8 brilliant-cut diamond totaling 0.19 carats. Width: 4mm."
 B4094800,rings,Juste un Clou ring,"pink gold, diamonds",25,3800.00 INR,"Juste un Clou ring, 18K rose gold, set with 22 brilliant-cut diamonds totaling 0.13 carats. Width: 2.65mm."
 B4216900,rings,Juste un Clou ring,"yellow gold, diamonds",25,3800.00 INR,"Juste un Clou ring, 18K yellow gold, set with 22 brilliant-cut diamonds totaling 0.13 carats. Width: 2.65mm."
 N4767800,rings,PanthÃ¨re de Cartier ring,"white gold, emeralds, onyx, diamonds",25,38200.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, onyx, set with 2 emeralds and 242 brilliant-cut diamonds totaling 2.21 carats."
 B4038800,rings,Trinity ring,"white gold, yellow gold, pink gold, diamonds",25,3850.00 INR,"Trinity ring, medium model, 18K white gold, 18K rose gold, 18K yellow gold, set with 15 brilliant-cut diamonds totaling 0.18 carats. Width: 4mm."
 H4315200,rings,Reflection de Cartier ring,"white gold, diamonds",25,38800.00 INR,"Reflection de Cartier ring, 18K white gold, set with 16 brilliant-cut diamonds totaling 1.02 carats, and 12 baguette-cut diamonds totaling 1.13 carats."
 B4052900,rings,Trinity wedding band,"white gold, yellow gold, pink gold, diamonds",25,3950.00 INR,"Trinity wedding band, width 3.5 mm, 18K pink gold, 18K white gold, 18K yellow gold, set with 53 brilliant-cut diamonds totaling 0.23 carat."
 H4347000,rings,Cactus de Cartier ring,"yellow gold, chrysoprase, lapis lazuli, diamonds",25,39900.00 INR,"Cactus de Cartier ring, 18K yellow gold, set with 16 chrysoprases, 14 lapis lazulis and 36 brilliant-cut diamonds totaling 0.53 carats."
 B4083200,rings,Caresse dâ€™OrchidÃ©es par Cartier ring,"pink gold, diamonds",25,4000.00 INR,"Caresse d'OrchidÃ©es par Cartier ring, 18K pink gold, set with 2 brilliant-cut diamonds totaling 0.03 carat."
 B4210800,rings,Juste un Clou ring,"pink gold, diamonds",25,4000.00 INR,"Juste un Clou ring, 18K rose gold, set with 14 brilliant-cut diamonds totaling 0.08 carats. Width: 1.8mm."
 B4092700,rings,Juste un Clou ring,"white gold, diamonds",25,4050.00 INR,"Juste un Clou ring, 18K white gold, set with 22 brilliant-cut diamonds totaling 0.13 carats. Width: 2.65mm."
 B4226200,rings,Goldmaster de Cartier ring,yellow gold,25,4150.00 INR,"Goldmaster de Cartier ring, 18K yellow gold."
 B4071400,rings,1895 wedding band,"platinum, diamonds",25,4200.00 INR,"1895 wedding band, width 2.6 mm, platinum 950â€°, set with 19 brilliant-cut diamonds totaling 0.27 carat."
 B4211000,rings,Juste un Clou ring,"white gold, diamonds",25,4300.00 INR,"Juste un Clou ring, 18K white gold, set with 14 brilliant-cut diamonds totaling 0.08 carats. Width: 1.8mm."
 N4210800,rings,"Trinity ring, LM","white gold, yellow gold, pink gold, diamonds",25,43300.00 INR,"Trinity ring, large model, 18K white gold, 18K pink gold, 18K yellow gold, set with 387 brilliant-cut diamonds totaling 4.64 carats."
 B4224500,rings,Cactus de Cartier ring,"pink gold, diamond",25,4350.00 INR,"Cactus de Cartier ring, 18K pink gold, set with 1 brilliant-cut diamond totaling 0.018 carats."
 B4099300,rings,Trinity Ruban wedding band,"platinum, diamond",25,4350.00 INR,"Trinity Ruban wedding band, 1 row, 950â€° platinum, set with 23 brilliant-cut diamonds totaling 0.22 carat. Width: 2.0 mm."
 B4232000,rings,Ã‰tincelle de Cartier wedding band,"platinum, sapphires, diamonds",25,4400.00 INR,"Ã‰tincelle de Cartier wedding band, 950â€° platinum, set with 19 brilliant-cut diamonds totaling 0.24 carat and 19 brilliant-cut sapphires totaling 0.34 carat. Width: 2 mm."
 B4218000,rings,"Love ring, SM","yellow gold, diamonds",25,4500.00 INR,"Love ring, small model, 18K yellow gold, set with 72 brilliant-cut diamonds totaling 0.19 carats. Width: 2.6mm."
 B4218100,rings,"Love ring, SM","pink gold, diamonds",25,4500.00 INR,"Love ring, small model, 18K pink gold, set with 72 brilliant-cut diamonds totaling 0.19 carats. Width: 2.6mm."
 B4223200,rings,Etincelle de Cartier ring,"white gold, diamonds",25,4500.00 INR,"Etincelle de Cartier ring, 18K white gold, set with 26 brilliant-cut diamonds totaling 0.36 carats."
 B4086300,rings,Ã‰tincelle de Cartier wedding band,"yellow gold, diamonds",25,4550.00 INR,"Ã‰tincelle de Cartier wedding band, 18K yellow gold, set with 38 brilliant-cut diamonds totaling 0.47 carats. Width: 2 mm."
 B4086500,rings,Ã‰tincelle de Cartier wedding band,"pink gold, diamonds",25,4550.00 INR,"Ã‰tincelle de Cartier wedding band, 18K pink gold, set with 38 brilliant-cut diamonds totaling 0.47 carats. Width: 2 mm."
 H4345500,rings,Essential Lines ring,"white gold, diamonds",25,45600.00 INR,"Essential Lines ring, 18K white gold, set with 120 brilliant-cut diamonds totaling 7.16 carats."
 N4251300,rings,Les Oiseaux LibÃ©rÃ©s ring,"white gold, sapphires, emeralds, onyx, black ceramic, diamonds",25,47900.00 INR,"Les Oiseaux LibÃ©rÃ©s ring - white gold, sapphires, emerald eyes, ceramic, onyx, brilliant-cut diamonds"
 B4218200,rings,"Love ring, SM","white gold, diamonds",25,4800.00 INR,"Love ring, small model, 18K white gold, set with 72 brilliant-cut diamonds totaling 0.19 carats. Width: 2.6mm."
 B4077900,rings,Ã‰tincelle de Cartier wedding band,"white gold, diamonds",25,4850.00 INR,"Ã‰tincelle de Cartier wedding band, 18K white gold, set with 38 brilliant-cut diamonds totaling 0.47 carats. Width: 2 mm."
 N4752800,rings,Pluie de Cartier ring,"white gold, diamonds",25,49300.00 INR,"Pluie de Cartier wedding band, 18K white gold, set with 90 brilliant-cut diamonds totaling 5.20 carats."
 B4225000,rings,Etincelle de Cartier ring,"pink gold, diamonds",25,5000.00 INR,"Etincelle de Cartier ring, 18K pink gold, set with 25 brilliant-cut diamonds totaling 0.48 carats."
 B4098800,rings,"Maillon PanthÃ¨re thin wedding band, 2 half diamond-paved rows","pink gold, diamonds",25,5000.00 INR,"Maillon PanthÃ¨re wedding band, 18K pink gold, set with 42 brilliant-cut diamonds totaling 0.30 carat."
 B4216000,rings,Maillon PanthÃ¨re ring,"yellow gold, diamonds",25,5000.00 INR,"Maillon PanthÃ¨re wedding band, 18K yellow gold, set with 42 brilliant-cut diamonds totaling 0.3 carats."
 B4072000,rings,Ballerine wedding band,"platinum, diamonds",25,5050.00 INR,"Ballerine wedding band, width 2.4 mm, platinum 950â€°, set with 39 brilliant-cut diamonds totaling 0.38 carat."
 B4097500,rings,Love ring,"pink gold, diamonds",25,5250.00 INR,"Love ring, 18K pink gold, set with 6 brilliant-cut diamonds totaling 0.46 carat. Width 5.5 mm."
 B4224900,rings,Etincelle de Cartier ring,"white gold, diamonds",25,5350.00 INR,"Etincelle de Cartier ring, 18K white gold, set with 25 brilliant-cut diamonds totaling 0.48 carats."
 B4098900,rings,"Maillon PanthÃ¨re thin wedding band, 2 half diamond-paved rows","white gold, diamonds",25,5350.00 INR,"Maillon PanthÃ¨re wedding band, 18K white gold, set with 42 brilliant-cut diamonds totaling 0.30 carat."
 N4249900,rings,Reflection de Cartier wedding band,"white gold, diamonds",25,53500.00 INR,"Reflection de Cartier wedding band, 18K white gold, set with 36 brilliant-cut diamonds totaling 1.58 carats, and with 18 baguette-cut diamonds totaling 1.94 carats"
 B4216400,rings,Ã‰tincelle de Cartier wedding band,"pink gold, diamonds",25,5450.00 INR,"Etincelle de Cartier wedding band, 18K pink gold, set with 16 brilliant-cut diamonds totaling 0.51 carat. Width 2.6 mm."
 N4211000,rings,PanthÃ¨re de Cartier ring,"white gold, diamonds, emeralds, onyx",25,55500.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, set with 365 brilliant-cut diamonds totaling 2.55 carats. Emeralds, onyx."
 H4275500,rings,PanthÃ¨re de Cartier ring,"white gold, emeralds, onyx, diamonds",25,57000.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, set with 292 brilliant-cut diamonds (1.63 carats), emeralds and onyx."
 B4216300,rings,Ã‰tincelle de Cartier wedding band,"platinum, diamonds",25,5950.00 INR,"Etincelle de Cartier wedding band, 950â€° platinum, set with 16 brilliant-cut diamonds totaling 0.51 carat. Width 2.6 mm."
 B4085900,rings,PanthÃ¨re de Cartier ring,"yellow gold, onyx, tsavorite garnet",25,6000.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold. Tsavorite garnets, onyx."
 B4215900,rings,PanthÃ¨re de Cartier ring,"pink gold, tsavorite garnets, onyx",25,6000.00 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, tsavorite garnets, onyx."
 B4230800,rings,PanthÃ¨re de Cartier ring,"yellow gold, tsavorite garnets, onyx",25,6100.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 B4095700,rings,Etincelle de Cartier ring,"pink gold, diamonds",25,6100.00 INR,"Etincelle de Cartier ring, 18K pink gold, set with 17 brilliant-cut diamonds totaling 0.48 carats."
 B4095500,rings,"Trinity ring, ceramic, SM","white gold, ceramic, diamonds",25,6300.00 INR,"Trinity ring, small model, 18K white gold, black ceramic, set with 100 brilliant-cut diamonds totaling 0.45 carats. Width of the 3 rings 2.9mm."
 B4094600,rings,"Love ring, diamond-paved","pink gold, white gold, diamonds",25,6450.00 INR,"Love ring, 18K rose gold, 18K white gold, set with 52 brilliant-cut diamonds totaling 0.19 carats. White gold width 2.6mm. Rose gold width 3.5mm."
 B4099500,rings,PanthÃ¨re de Cartier ring,"white gold, tsavorite garnets, onyx",25,6450.00 INR,"PanthÃ¨re de Cartier ring, 18K white gold, tsavorite garnets, onyx."
 B4086000,rings,"Trinity ring, small model","white gold, yellow gold, pink gold, diamonds",25,6450.00 INR,"Trinity ring, small model, 18K white gold, 18K pink gold, 18K yellow gold, set with 102 brilliant-cut diamonds totaling 0.46 carat. All-gold ring width: 2.8 mm. Paved ring width: 2.9 mm."
 H4312000,rings,Les Oiseaux LibÃ©rÃ©s ring,"white gold, sapphires, emeralds, mother-of-pearl, diamonds",25,65000.00 INR,"Les Oiseaux LibÃ©rÃ©s ring, 18K white gold, gray mother-of-pearl, emeralds, sapphire beads, set with 147 brilliant-cut diamonds totaling 1.00 carat."
 B4095800,rings,Etincelle de Cartier ring,"white gold, diamonds",25,6550.00 INR,"Ã‰tincelle de Cartier ring, 18K white gold, set with 17 brilliant-cut diamonds totaling 0.49 carat."
 B4083300,rings,"Love wedding band, diamond-paved","yellow gold, diamonds",25,6650.00 INR,"Love wedding band, 18K yellow gold, set with 88 brilliant-cut diamonds totaling 0.31 carats. 4mm to 5mm width following metrics."
 B4085800,rings,"Love wedding band, diamond-paved","pink gold, diamonds",25,6650.00 INR,"Love wedding band, 18K rose gold, set with 88 brilliant-cut diamonds totaling 0.31 carats. 4 to 5 width following sizes."
 B4223000,rings,Etincelle de Cartier ring,"pink gold, diamonds",25,6650.00 INR,"Etincelle de Cartier ring, 18K pink gold, set with 46 brilliant-cut diamonds totaling 0.63 carats."
 H4300800,rings,Les Oiseaux LibÃ©rÃ©s ring,"white gold, sapphires, emeralds, mother-of-pearl, diamonds",25,68500.00 INR,"Les Oiseaux LibÃ©rÃ©s ring, 18K white gold, gray mother-of pearl, emerald, sapphire, set with 446 brilliant-cut diamonds totaling 2.68 carats."
 B4002300,rings,1895 wedding band,yellow gold,25,690.00 INR,"1895 wedding band, width 2.5 mm, 18K yellow gold."
 B4088100,rings,1895 wedding band,pink gold,25,690.00 INR,"1895 wedding band, width 2.5 mm, 18K pink gold."
 B4094300,rings,"Love ring, 6 diamonds","pink gold, white gold, diamonds",25,7000 INR,"Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm."
 B4032400,rings,"Love ring, 3 diamonds","yellow gold, diamonds",25,7000 INR,"Love ring, 18K yellow gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4207600,rings,"Love ring, diamond-paved, ceramic","white gold, ceramic, diamonds",25,7000 INR,"Love ring, 18K white gold, black ceramic, set with 66 brilliant-cut diamonds totaling 0.74 carats. Width: 6.5mm."
 N4765700,rings,PanthÃ¨re de Cartier ring,"pink gold, onyx, emeralds, diamonds",25,7000 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, onyx, set with 2 emeralds and 72 brilliant-cut diamonds totaling 0.68 carat."
 N4767700,rings,PanthÃ¨re de Cartier ring,"yellow gold, emeralds, onyx, diamonds",25,7000 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, set with 2 emeralds and 242 brilliant-cut diamonds totaling 2.21 carats."
 B4220200,rings,Cactus de Cartier wedding band,"white gold, diamonds",25,7000 INR,"Cactus de Cartier wedding band, 18K white gold, set with 15 brilliant-cut diamonds totaling 0.32 carats."
 B4221500,rings,Cactus de Cartier ring,"pink gold, diamond",25,7000 INR,"Cactus de Cartier ring, 18K pink gold, set with 1 brilliant-cut diamond totaling 0.018 carats."
 B4038900,rings,"Trinity ring, classic","white gold, yellow gold, pink gold, diamonds",25,7000 INR,"Trinity ring, medium model, 18K white gold, 18K rose gold, 18K yellow gold, set with 144 brilliant-cut diamonds totaling 0.99 carats. Width: 4mm."
 B4093700,rings,Cartier d'Amour wedding band,pink gold,25,7000 INR,"Cartier d'Amour wedding band, 18K pink gold. Width: 2.5 mm"
 N4745200,rings,Coup d'Ã‰clat de Cartier ring,"white gold, diamonds",25,7000 INR,"Coup d'Ã‰clat de Cartier ring, 18K white gold, set with 302 brilliant-cut diamonds totaling 2.32 carats."
 B4099400,rings,Trinity Ruban wedding band,"platinum, diamond",25,7050.00 INR,"Trinity Ruban wedding band, 2 rows, 950â€° platinum, set with 49 brilliant-cut diamonds totaling 0.49 carats. Width: 2.5 mm."
 B4083400,rings,"Love wedding band, diamond-paved","white gold, diamonds",25,7100.00 INR,"Love wedding band, 18K white gold, set with 88 brilliant-cut diamond totaling 0.31 carats. 4mm to 5mm width following sizes."
 B4223100,rings,Etincelle de Cartier ring,"white gold, diamonds",25,7100.00 INR,"Etincelle de Cartier ring, 18K white gold, set with 46 brilliant-cut diamonds totaling 0.63 carats."
 H4323300,rings,Cactus de Cartier ring,"yellow gold, emeralds, carnelians, diamonds",25,74500.00 INR,"Cactus de Cartier ring, 18K yellow gold, emeralds, carnelians, set with a brilliant-cut diamond of 0.10 carats."
 B4221600,rings,PanthÃ¨re de Cartier ring,"yellow gold, tsavorite garnets, onyx",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 B4096700,rings,PanthÃ¨re de Cartier ring,"yellow gold, lacquer, diamonds, tsavorite garnet",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K yellow gold, black lacquer, set with 5 brilliant-cut diamonds totaling 0.02 carat. Tsavorite garnet."
 B4221400,rings,PanthÃ¨re de Cartier ring,"pink gold, tsavorite garnets, onyx, black lacquer, diamonds",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, set with 5 brilliant-cut diamonds totaling 0.02 carats. Tsavorite garnets, onyx, black lacquer."
 B4221700,rings,PanthÃ¨re de Cartier ring,"pink gold, tsavorite garnets, onyx",25,7550.00 INR,"PanthÃ¨re de Cartier ring, 18K pink gold, onyx, black lacquer, set with 2 tsavorite garnets."
 B4220500,rings,"Ã‰tincelle de Cartier ring, small model","yellow gold, diamonds",25,7650.00 INR,"Ã‰tincelle de Cartier ring, small model, 18K yellow gold, set with 55 brilliant-cut diamonds totaling 1.00 carat."
 B4220600,rings,"Ã‰tincelle de Cartier ring, small model","pink gold, diamonds",25,7650.00 INR,"Ã‰tincelle de Cartier ring, small model, 18K pink gold, set with 55 brilliant-cut diamonds totaling 1.00 carat."
 B4232100,rings,Ã‰tincelle de Cartier wedding band,"platinum, sapphires, diamonds",25,7700.00 INR,"Ã‰tincelle de Cartier wedding band, 950â€° platinum, set with 14 brilliant-cut diamonds totaling 0.45 carats and 14 brilliant-cut sapphires totaling 0.63 carats. Width 2.6 mm."
 B4087000,rings,Ã‰tincelle de Cartier wedding band,"yellow gold, diamonds",25,7800.00 INR,"Ã‰tincelle de Cartier wedding band, 18K yellow gold, set with 29 brilliant-cut diamonds totaling 0.94 carats. Width: 2.6 mm."
 B4210600,rings,Ã‰tincelle de Cartier wedding band,"pink gold, diamonds",25,7800.00 INR,"Ã‰tincelle de Cartier wedding band, 18K pink gold, set with 29 brilliant-cut diamonds totaling 0.94 carats. Width: 2.6 mm."
 H4317000,rings,Les Oiseaux LibÃ©rÃ©s ring,"white gold, emeralds, diamonds",25,78000.00 INR,"Les Oiseaux LibÃ©rÃ©s ring, 18K white gold, emeralds, set with 223 brilliant-cut diamonds totaling 3.50 carats."
 B4095300,rings,"Maillon PanthÃ¨re ring, 3 half diamond-paved rows","pink gold, diamonds",25,7850.00 INR,"Maillon PanthÃ¨re ring, 18K pink gold, set with 35 brilliant-cut diamonds totaling 0.53 carat."
